Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Hypoxia,-0.24792831222895081,-1.6452254342480768,3.703704e-03,1.664157e-02,1.600000e-01,68/157,29.73%,FOS;DUSP1;GAA;GPC1;JUN;PIM1;CDKN1C;ISG20;PFKL;ENO3;COL5A1;B3GALT6;GALK1;SDC3;ILVBL;IRS2;PDGFB;AK4;CITED2;ATF3;SLC2A1;FOSL2;ENO1;GPI;LARGE1;HEXA;PPP1R15A;SLC37A4;TNFAIP3;ALDOC;GYS1;KLF6;NDRG1;VEGFA;KIF5A;TPBG;ANKZF1;SLC25A1;TPST2;HMOX1;NFIL3;GRHPR;MYH9;HSPA5;CHST2;PDK1;SCARB1;ALDOA;GAPDH;MIF;MT2A;FOXO3;PAM;TPI1;BCAN;ADM;ZFP36;SDC4;HK2;IDS;NDST1;BCL2;SLC2A5;MAFF;DTNA;TMEM45A;HDLBP;SIAH2
prerank,Glycolysis,-0.23852034087103752,-1.6002710404829146,7.766990e-03,2.190574e-02,2.270000e-01,63/165,22.49%,CHPF;GPC1;CHST12;SLC25A10;BIK;ISG20;PC;MET;B3GAT3;B4GALT2;COL5A1;QSOX1;AGRN;B4GALT7;PGLS;B3GALT6;GALK1;CD44;SDC3;IRS2;ELF3;MED24;CHPF2;SRD5A3;AK4;CITED2;ABCB6;PKP2;LHPP;ENO1;RBCK1;PHKA2;MPI;SLC37A4;MDH2;TSTA3;EXT2;ALG1;GUSB;GYS1;GMPPB;PYGB;CLN6;VEGFA;PGAM1;PSMC4;TPBG;ANKZF1;PLOD1;XYLT2;AKR1A1;TALDO1;B4GALT1;SLC16A3;PKM;HSPA5;CHST2;POLR3K;G6PD;ALDOA;SDC1;GMPPA;MIF
prerank,Angiogenesis,-0.43784306929205363,-1.5993660582979174,3.285421e-02,2.068310e-02,2.300000e-01,7/17,15.81%,TIMP1;JAG2;LRPAP1;MSX1;VAV2;VEGFA;FGFR1
prerank,DNA Repair,-0.2372527472777285,-1.557038287463202,9.259259e-03,2.570529e-02,2.860000e-01,55/145,22.80%,APRT;POLR2I;CCNO;TAF1C;SAC3D1;NME3;POLE4;VPS37B;VPS28;POLD1;NT5C;SNAPC4;TARBP2;NME1;NELFB;POLR2E;SURF1;GUK1;ADRM1;TP53;MPG;SEC61A1;LIG1;NME4;CANT1;NELFCD;POLR2A;ADCY6;GPX4;POLR3C;SRSF6;ADA;DDB2;POLA2;ERCC3;AAAS;POLL;ZNRD1;ELL;POLR1C;POLR2C;EDF1;SUPT5H;ERCC2;FEN1;IMPDH2;GTF3C5;ZNF707;POLR2H;SSRP1;POM121;DGCR8;ITPA;DDB1;PNP
prerank,Epithelial Mesenchymal Transition,-0.24559847357739212,-1.5525032011801962,1.162791e-02,2.482251e-02,2.920000e-01,42/113,26.94%,IGFBP4;GPC1;PDGFRB;DPYSL3;JUN;TIMP1;EFEMP2;CAPG;MYLK;TGFB1;COL5A1;QSOX1;ITGB5;FLNA;CD44;BMP1;APLP1;COLGALT1;MCM7;MSX1;SLC6A8;TNFAIP3;MAGEE1;DST;VEGFA;ANPEP;PLOD1;EMP3;SLIT2;RHOB;PLOD3;FZD8;LAMC1;SDC1;COL16A1;P3H1;THBS1;DAB2;SDC4;ID2;PVR;LOXL2
prerank,IL-2/STAT5 Signaling,-0.22351457865495183,-1.5022579077285798,2.053388e-03,3.539636e-02,4.010000e-01,66/157,28.70%,PIM1;CDKN1C;DHRS3;CAPG;MYC;ENO3;RGS16;RNH1;PLEC;AHCY;FURIN;SLC1A5;CD44;MYO1C;APLP1;DENND5A;SYNGR2;LRIG1;IL10RA;PUS1;AHNAK;TNFRSF1B;GPX4;IL4R;IRF4;RHOH;SYT11;CCND3;KLF6;SOCS1;CSF2;NDRG1;CYFIP1;RHOB;MAPKAPK2;IGF1R;NFIL3;CKAP4;PLAGL1;PRAF2;GLIPR2;ODC1;PDCD2L;CD79B;ETV4;TRAF1;IL18R1;PNP;S100A1;DCPS;SOCS2;HUWE1;IRF6;IGF2R;CISH;SPRED2;HK2;ABCB1;SH3BGRL2;BATF3;BCL2;AMACR;NFKBIZ;BMPR2;MAFF;UCK2
prerank,Xenobiotic Metabolism,-0.22941236776801305,-1.4579720111181322,2.597403e-02,4.748479e-02,5.010000e-01,53/127,31.61%,IGFBP4;HES6;PEMT;SLC12A4;TKFC;PC;JUP;PYCR1;COMT;LCAT;AHCY;SLC1A5;ECH1;DCXR;ETS2;UPP1;CYP26A1;LONP1;NINJ1;ASL;ACP2;POR;SPINT2;SLC35B1;PINK1;PMM1;RETSAT;MPP2;EPHX1;ACO2;ATP2A2;HMOX1;CYP2J2;BLVRB;PAPSS2;ACOX3;CSAD;NMT1;CYFIP2;MT2A;CBR1;VTN;ID2;PPARD;HACL1;SHMT2;ARG2;DHPS;PSMB10;NDRG2;FAH;MTHFD1;CYB5A
prerank,heme Metabolism,0.2134143283099632,1.4397641559003742,1.939655e-02,7.027560e-02,5.400000e-01,71/156,30.24%,CLIC2;BTG2;TOP1;SDCBP;ADD2;MOSPD1;TNRC6B;RNF19A;DCUN1D1;ABCG2;NUDT4;LAMP2;CDC27;CLCN3;TENT5C;ARHGEF12;NNT;BLVRA;TCEA1;KLF3;HDGF;ARL2BP;YPEL5;BTRC;CIR1;DCAF10;SLC30A1;ATG4A;BMP2K;NR3C1;EPB41;KAT2B;DAAM1;GAPVD1;GMPS;BNIP3L;RIOK3;SLC7A11;ISCA1;RBM5;NEK7;SYNJ1;BPGM;CPOX;XK;USP15;TRAK2;PICALM;CAST;GCLC;GCLM;MBOAT2;NCOA4;TFRC;MGST3;CDR2;CAT;ATP6V0A1;ENDOD1;VEZF1;BACH1;MKRN1;SLC25A37;P4HA2;E2F2;KHNYN;XPO7;FBXO34;TMEM9B;LPIN2;CCDC28A
prerank,Fatty Acid Metabolism,0.22081982205463951,1.4319410518145737,2.032520e-02,6.740594e-02,5.630000e-01,47/128,22.42%,GPD2;CRYZ;HSP90AA1;IDH1;HSPH1;HMGCS1;IDI1;HSDL2;HSD17B4;DLD;SDHC;KMT5A;SMS;HIBCH;BLVRA;ELOVL5;RDH11;ECI2;TDO2;SERINC1;ACOX1;HSD17B11;MGLL;PPARA;DECR1;ACAT2;ACADM;HSD17B7;ADIPOR2;HADHB;SDHD;EHHADH;PDHB;BCKDHB;PRDX6;CPOX;HCCS;SUCLA2;RAP1GDS1;ACSL4;UGDH;OSTC;ALDH3A2;PDHA1;ADSL;METAP1;PTS
prerank,Notch Signaling,-0.3206377873546034,-1.4171330735536398,6.130268e-02,6.032570e-02,6.080000e-01,14/27,30.70%,FZD7;LFNG;NOTCH1;KAT2A;FZD1;HEYL;DTX2;FZD5;CCND1;PSEN2;PPARD;HES1;APH1A;PSENEN
prerank,Oxidative Phosphorylation,0.19893064061417784,1.389372960921163,2.161100e-02,8.395758e-02,6.700000e-01,89/196,31.53%,UQCRB;IDH1;NDUFB3;NDUFA5;CYCS;ATP6V1D;NDUFB5;COX7B;COX7A2;ATP5F1E;HADHA;COX7A2L;DLD;NDUFA1;SDHC;VDAC3;NDUFA4;ATP5PF;MRPL35;DLAT;NDUFS1;NNT;ABCB7;ATP5F1C;COX7C;TIMM17A;MPC1;ACAT1;NDUFB1;OPA1;TOMM22;HSPA9;MRPS30;DECR1;MRPL15;ACADM;UQCRH;HADHB;SDHD;NDUFB4;ATP6V1G1;COX6C;ISCA1;PDHB;COX15;TOMM70;ATP5PB;ATP6V1C1;RHOT1;HCCS;SUCLA2;PDP1;NDUFA6;TIMM9;GLUD1;AIFM1;SDHB;COX17;COX11;PDHA1;NDUFC1;SLC25A20;IDH3A;FDX1;PRDX3;NDUFA2;MGST3;MRPS11;ETFDH;MRPS22;NDUFS4;CS;CASP7;OAT;ATP6V1E1;SUPV3L1;ATP5MG;VDAC1;ACAA2;PDHX;VDAC2;NDUFB6;TIMM8B;GRPEL1;BDH2;ALDH6A1;FH;ATP5PD;MTX2
prerank,UV Response Dn,0.21345576030966712,1.373740531072801,4.892368e-02,8.569004e-02,7.060000e-01,49/122,28.80%,SDC2;GJA1;CDC42BPA;PIK3R3;GCNT1;ADD3;INPP4B;MIOS;AKT3;YTHDC1;INSIG1;CAV1;PTEN;CELF2;MRPS31;CDKN1B;RASA2;AMPH;MGLL;ATP2B1;NR3C1;DLG1;NIPBL;PHF3;PRKCE;ATP2C1;BCKDHB;NEK7;SPOP;PRKAR2B;PDLIM5;ATRX;CDON;PRDM2;AGGF1;VLDLR;MAGI2;TOGARAM1;DYRK1A;ATP2B4;ADGRL2;ID1;NFKB1;NR1D2;PRKCA;CAP2;LDLR;MAPK14;RND3
prerank,Pperoxisome,0.22153784294336115,1.329575624299904,7.566462e-02,1.084375e-01,8.130000e-01,37/87,24.86%,IDH1;TOP2A;IDI1;CADM1;PRDX1;HSD17B4;SCP2;VPS4B;PEX13;ELOVL5;RDH11;ECI2;SLC25A17;ACOX1;HSD17B11;LONP2;FDPS;SMARCC1;SOD2;SOD1;EHHADH;SIAH1;PRDX5;FADS1;ACSL4;PEX2;MSH2;GNPAT;UGT2B17;BCL10;IDE;ABCD2;ABCD3;PEX11A;CDK7;CAT;ITGB1BP1
prerank,Adipogenesis,-0.19421666385057235,-1.3149695980443379,5.642023e-02,1.140004e-01,8.320000e-01,57/163,21.63%,PEMT;SLC25A10;MYLK;PIM3;SLC19A1;PFKL;DGAT1;CRAT;CYC1;SLC5A6;SLC27A1;SLC1A5;IDH3G;CD151;CHCHD10;ABCB8;ECH1;ACADS;MIGA2;PREB;STAT5A;POR;ARAF;STOM;ESYT1;SULT1A1;LIPE;ESRRA;UCP2;ADCY6;GPX4;TST;MDH2;PEX14;BAZ2A;RETSAT;SQOR;TKT;ATP5PO;EPHX2;ECHS1;ACO2;SLC25A1;GPAT4;VEGFB;UCK1;TALDO1;JAGN1;COX8A;ITGA7;UQCRC1;DHRS7B;NMT1;SCARB1;COQ9;ALDOA;UQCR11
prerank,PI3K/AKT/mTOR  Signaling,0.2126474225847557,1.2993226655362082,9.756098e-02,1.216528e-01,8.630000e-01,30/93,16.59%,PRKCB;ACTR2;PIK3R3;DAPP1;EIF4E;ITPR2;RALB;TBK1;CDK1;PIKFYVE;UBE2N;PPP2R1B;HSP90B1;PTPN11;PTEN;MAP3K7;GSK3B;CLTC;CDKN1B;ACTR3;IRAK4;PLCB1;UBE2D3;PRKAR2A;CALR;RPS6KA3;MAPK10;CAB39;SMAD2;ARPC3
