gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
ENSG00000141378	PTRH2	1231.489786765175	1263.0438299317327	1258.4357366041343	1447.8319234016483	1414.5671356113783	1565.0120615034236
ENSG00000141380	SS18	3371.6381393582137	3587.1418214246128	3454.797417074134	5273.681797217982	5117.282867167796	5615.43124026029
ENSG00000141384	TAF4B	2517.248614981019	2466.058601793492	2588.924062273461	2681.072908368086	2620.7443810009827	2743.0269417358772
ENSG00000141385	AFG3L2	3572.0161385606825	3369.739286792818	3470.947135312884	3359.8809789284473	3292.8362786036573	3351.327496460921
ENSG00000141391	PRELID3A	194.81194366906723	140.33820332574808	177.64690062624996	112.98869819649887	96.60458487102096	104.40979670653732
ENSG00000141401	IMPA2	1271.8436893823389	1199.7699579120313	1232.3477302184613	649.9039849752106	645.1806203886042	672.9892331193113
ENSG00000141404	GNAL	161.4156104686557	141.14940681318015	190.0697608099038	140.14102101891334	173.198220018759	124.83780040999028
ENSG00000141424	SLC39A6	2945.8348910529667	3056.614740644039	3017.5127386095187	3542.0643062530344	3662.693832109852	3846.1391417223367
ENSG00000141425	RPRD1A	2653.6169755493656	2977.928002363128	2899.495566864807	3460.607337785791	3527.4474132904224	3907.423152832696
ENSG00000141428	C18orf21	322.8312209373114	277.4315927017679	314.29836264644223	360.8631291237018	381.5881102405328	455.0905269491464
ENSG00000141429	GALNT1	1717.1281320544927	1785.4588758379857	1942.9353327234612	2116.1294173855913	2286.078497697803	2479.7326717802616
ENSG00000141431	ASXL3	11.132111066803843	12.168052311481047	3.726858055096153	16.641746245995957	35.19167020301478	32.91178374445198
ENSG00000141441	GAREM1	352.0530124876715	356.11833098267863	326.7212228300961	370.4978243187521	364.33729151356476	442.60674690814733
ENSG00000141446	ESCO1	1028.328759796005	1073.2222138726283	967.7408083066344	1466.2254324103808	1534.6328339510758	1604.7331798156931
ENSG00000141447	OSBPL1A	1298.282453165998	1215.9940276606726	1325.5191815958651	1885.7726140857526	1845.1475710365003	2055.2841503862946
ENSG00000141449	GREB1L	55.66055533401921	65.70748248199766	68.32573101009613	42.918187687042206	29.67140821038501	38.58622921763336
ENSG00000141452	RMC1	951.7954962117285	952.3528942452499	931.7145137740383	938.9448408267193	992.9571259242797	916.9903884661104
ENSG00000141456	PELP1	4952.397910844359	4818.548715346495	4882.1840521759605	3341.487469919715	3359.7694552642934	3335.439049136013
ENSG00000141458	NPC1	1104.8620233802812	1253.309388082548	1337.942041779519	1247.2550870683287	1231.0184243564386	1279.0200096550823
ENSG00000141469	SLC14A1	38.96238873381345	34.881749959579004	24.84572036730769	76.20168017903413	69.69330765695084	65.82356748890396
ENSG00000141480	ARRB2	1210.6170785149177	1246.8197601830914	1259.6780226224998	984.4906726578662	1008.8278791530903	1000.9721814691948
ENSG00000141497	ZMYND15	97.40597183453362	89.23238361752767	83.23316323048076	50.801120119356085	47.612259686431756	60.14912201572259
ENSG00000141499	WRAP53	804.2950245765776	773.0769235227625	826.1202022129806	631.5104759664782	627.9298016616362	651.426340321222
ENSG00000141503	MINK1	4324.825149453292	4041.4157743865717	4059.790708018076	2966.6102386941216	2916.0783976066755	2796.3667291837824
ENSG00000141504	SAT2	404.93054005498976	386.9440635050973	412.4389580973076	359.1113663609654	362.95722601540734	356.35517571579044
ENSG00000141510	TP53	3861.4510262975828	4120.913716154914	4177.807879762788	2607.498872333156	2637.305166978872	2649.9660359757027
ENSG00000141522	ARHGDIA	9690.502683652745	8895.657443180078	8835.138162614614	7135.805614006793	7206.702031378163	6617.538310824121
ENSG00000141524	TMC6	6239.548252943553	5922.5966617415415	6013.906614906826	3462.3591005485277	3481.9052518512267	3140.2381248585734
ENSG00000141526	SLC16A3	786.2053440930214	619.7594643981013	678.2881660274999	423.0507072008446	412.63958394907525	402.88562859587773
ENSG00000141527	CARD14	29.221791550360084	48.672209245924186	53.41829878971153	16.641746245995957	17.94085147604675	20.428003703452955
ENSG00000141540	TTYH2	121.06170785149178	114.37969172792184	108.07888359778843	27.152322822414458	27.601309963148847	30.64200555517943
ENSG00000141542	RAB40B	315.873651520559	304.20130778702617	336.6595109770192	146.27219068849078	125.58596033232725	129.3773567885354
ENSG00000141543	EIF4A3	4886.996758326886	4606.824605126724	4666.026284980384	3035.80486782221	3203.822053972502	3276.4248162149265
ENSG00000141551	CSNK1D	3896.2388733813445	3650.415693444314	3616.294599461634	3101.4959714248257	3153.449663289756	2975.679206136314
ENSG00000141552	ANAPC11	1629.4627574034123	1481.2575680509594	1703.174131178942	1159.666948931508	1214.4576383785493	999.8372923745585
ENSG00000141556	TBCD	3203.2649594728055	3261.0380194769205	3325.5996711641337	2132.771163631587	2097.0095244502336	1997.4048065598445
ENSG00000141560	FN3KRP	1589.1088547862485	1556.699492382142	1484.5317919466343	1304.1873768572623	1344.1837952053488	1261.996673235538
ENSG00000141562	NARF	2675.8811976829734	2687.5171538624472	2701.972089944711	1821.8332732458734	1864.4684880107045	1862.3530042981276
ENSG00000141564	RPTOR	2258.427032677829	2101.828235936493	2213.753684727115	1359.3679038834593	1400.766480629804	1360.732024468894
ENSG00000141568	FOXK2	3527.4876942934675	3256.170798552328	3129.318480262403	2676.6935014612445	2501.368715410364	2455.9000007929
ENSG00000141569	TRIM65	1964.817603290878	1754.633143315567	1873.3673156949997	1271.7797657466385	1266.900127308532	1274.4804532765372
ENSG00000141570	CBX8	265.7791517199417	150.88384866236498	176.40461460788458	167.29334384132778	160.777630535342	124.83780040999028
ENSG00000141574	SECTM1	90.44840241778121	63.27387201970144	79.5063051753846	101.60224023871217	98.67468311825712	77.17245843526672
ENSG00000141576	RNF157	598.3509698407065	513.4918075445001	530.4561298420191	569.3228978893354	585.1477712187556	520.9140944380504
ENSG00000141577	CEP131	1195.3104257980626	1098.3695219830224	1119.2997025472114	599.1028648558545	595.4982624549364	562.9049909395925
ENSG00000141579	ZNF750	8.349083300102881	12.979255798913117	11.180574165288458	11.386457957786709	12.42058948341698	12.483780040999028
ENSG00000141580	WDR45B	2186.0683107436043	2067.7576894643457	2039.8336421559611	1828.840324296819	1824.4465885641387	1807.8783277555865
ENSG00000141582	CBX4	552.4310116901406	519.9814354439568	525.4869857685576	321.44846696213244	366.4073897608009	350.68073024260906
ENSG00000141622	RNF165	198.98648531911869	155.7510695869574	177.64690062624996	135.7616141120723	190.44903874572702	191.7962569935305
ENSG00000141627	DYM	2028.8272419250002	1990.6933581582994	2099.4633710374997	1946.2084294001588	1883.09937223583	1917.9625699353053
ENSG00000141639	MAPK4	16.698166600205763	18.657680210937606	14.907432220384612	4.379406906841042	8.970425738023375	13.618669135635303
ENSG00000141642	ELAC1	225.4252491027778	219.8361450940909	192.55433284663457	178.6798017991145	176.6483837641526	189.52647880425798
ENSG00000141644	MBD1	5496.479839234397	5107.337156872311	5059.83095280221	4681.585983413073	4625.289517074668	4687.091960847817
ENSG00000141646	SMAD4	2074.747200075566	2081.5481487506913	2125.5513774231727	2197.5863858528346	2242.6064345058435	2283.396858408186
ENSG00000141655	TNFRSF11A	70.96720805087449	52.728226683084536	55.902870826442296	50.801120119356085	45.542161439195596	46.53045288008729
ENSG00000141664	ZCCHC2	254.64704065313788	278.24279618919996	270.8183520036538	217.21858257931567	261.5224119008353	262.1593808609796
ENSG00000141668	CBLN2	1388.7308555837792	1265.477440394029	1330.4883256693267	781.2861921804418	773.5267117172464	749.0268024599417
ENSG00000141682	PMAIP1	779.2477746762689	862.3093071402902	843.512206470096	788.2932432313875	862.5409363484014	853.436599166479
ENSG00000141696	P3H4	225.4252491027778	201.1784648831533	191.3120468282692	110.36105405239425	111.0952726016741	97.60046213871968
ENSG00000141698	NT5C3B	769.5071774928156	729.2719352014308	800.0321958273075	562.3158468383898	560.9966250010003	653.6961185104946
ENSG00000141699	RETREG3	3192.132848406002	3289.4301415370433	3392.683116155865	3177.69765160386	3191.4014644890854	3050.581886382308
ENSG00000141736	ERBB2	132.19381891829562	180.08717420991948	190.0697608099038	132.25808858659946	133.1763205721932	102.14001851726478
ENSG00000141738	GRB7	353.444526371022	341.51666820890136	321.75207875663455	169.92098798543242	173.198220018759	124.83780040999028
ENSG00000141741	MIEN1	772.2902052595165	840.4068129796243	795.063051753846	539.5429309228164	529.2551185433791	551.5560999932297
ENSG00000141753	IGFBP4	40.353902617163925	57.59544760767695	63.3565869366346	5.25528828820925	5.520261992629769	5.674445473181376
ENSG00000141759	TXNL4A	2955.57548823642	2719.96529335973	2869.680702424038	2278.16747293871	2214.315091793616	2154.0195016196503
ENSG00000141837	CACNA1A	374.31723462127917	366.66397631929556	324.2366507933653	224.22563363026134	222.1905452033482	177.04269876325895
ENSG00000141854	MISP3	471.7232064558128	404.7905402286028	455.91896874009603	155.03100450217286	165.60785977889307	163.42402962762364
ENSG00000141858	SAMD1	1948.1194366906723	1889.2929222292905	1873.3673156949997	1318.2014789591535	1279.320716791949	1222.2755549232684
ENSG00000141867	BRD4	4736.713258925035	4347.239489148462	4203.895886148461	4075.4760675062735	3735.8373035121963	3767.831794192434
ENSG00000141873	SLC39A3	1409.6035638340365	1263.0438299317327	1342.9111858529805	599.1028648558545	646.5606858867617	636.6727820909505
ENSG00000141905	NFIC	172.54772153545954	194.68883698369675	219.88462525067303	84.96049399271621	77.97370064589549	64.6886783942677
