gene_id	gene_name	status	log2FoldChange	padj	pvalue	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture
ENSG00000254701	AC138866.2	up	1.0352370052983686	0.08289598057121456	0.024053935589885937	89.20938075178582	120.08233402242543	58.33642748114618
ENSG00000276298	AC234782.4	up	1.8898839345585818	0.08289598057121456	0.024029895149858715	8.625682596569115	13.87309161713018	3.37827357600805
ENSG00000268355	AC243960.3	up	3.8497508227241095	0.08289598057121456	0.0063503756429764335	7.52329379182471	14.505785258694708	0.5408023249547133
ENSG00000285184	AC244033.2	up	1.4125135893292349	0.08289598057121456	0.028839410834283357	23.41182631256453	34.264237032733845	12.559415592395217
ENSG00000274422	AC245060.5	up	1.9085491698056534	0.08289598057121456	0.012446265332038848	160.03227710397974	253.03334355102845	67.03121065693101
ENSG00000120907	ADRA1A	up	2.006636960652679	0.08289598057121456	0.030855695095739114	9.038328617356115	14.775348022542067	3.3013092121701626
ENSG00000169252	ADRB2	up	1.3820919623489902	0.08289598057121456	0.0173662078484627	404.04753939553865	584.2490495867896	223.84602920428756
ENSG00000111863	ADTRP	up	3.044148516252089	0.08289598057121456	0.0031820407507985333	176.21130449668985	314.70895770140936	37.71365129197033
ENSG00000263335	AF001548.2	up	1.0178481069004814	0.08289598057121456	0.03514895566509089	62.06078115764199	83.2576459354131	40.86391637987088
ENSG00000226751	AF127936.1	up	1.7255394359206269	0.08289598057121456	0.016143185254021204	76.59232778380408	117.88634802327879	35.29830754432939
ENSG00000231125	AF129075.1	up	1.0979176124602608	0.08289598057121456	0.027834117072594936	44.89321744803744	61.37774800258514	28.408686893489733
ENSG00000272977	AL008721.2	up	1.3108528366435017	0.08289598057121456	0.022384131416413898	44.54837210901897	63.7134316862337	25.38331253180425
ENSG00000230424	AL035413.1	up	1.792459392121095	0.08289598057121456	0.024703711510823127	19.40894744465399	30.398213738691183	8.419681150616796
ENSG00000271789	AL080317.2	up	1.2551221684994964	0.08289598057121456	0.03261401368348686	8.583153032387777	12.302567050100953	4.863739014674603
