gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
SLC9A3 (ENSG00000066230)	0.7277080354858705	0.8436495325222723	1.139446315400162	-0.8263589664306701	-0.9112134942731599	-0.973231422704474
TMEM198 (ENSG00000188760)	0.9311095358961633	0.9557222871667864	0.8285826481682269	-0.954499059620759	-0.6912478502347464	-1.0696675613756705
HNRNPA3P5 (ENSG00000236565)	-1.2066778841648746	-0.9873121189335126	-0.4353695433230085	0.673530627278882	0.8963064389441645	1.0595224801983492
DUSP1 (ENSG00000120129)	1.022458355823586	0.9693751070123592	0.7301475416973461	-0.8522941761020899	-0.9961035115160172	-0.8735833169151916
LRFN4 (ENSG00000173621)	0.8879369666151189	0.9193962495903699	0.9117847976603048	-0.817564158299379	-1.1218942509383287	-0.7796596046280805
MXRA8 (ENSG00000162576)	0.7905895988407524	1.050449332020114	0.7606681723180606	-0.5481213343967811	-0.6500542703677433	-1.4035314984143996
FAM83H (ENSG00000180921)	0.844031990353619	0.9786393354872741	0.9090209742061243	-0.9525256996266495	-0.9718445130481776	-0.8073220873721936
LFNG (ENSG00000106003)	1.0548281818108463	0.5247395365860336	1.0766428826665257	-1.0820874828038394	-0.9336577948322227	-0.6404653234273456
FOXH1 (ENSG00000160973)	1.0368707569367668	1.0218753505728801	0.6249812607805895	-0.9051822680509887	-1.100343568721874	-0.6782015315173743
NRG2 (ENSG00000158458)	0.7350674114105316	1.327135385265645	0.474888043946242	-1.1661696957136494	-0.9797433986565673	-0.3911777462522042
RPS3AP6 (ENSG00000234797)	0.9816355532901746	0.9236109682727238	0.8097875450956575	-1.0805147939132975	-0.9273498386106481	-0.7071694341346151
GPR153 (ENSG00000158292)	0.8288950085456349	0.7001849842251658	1.1751877346573436	-0.8625238342563357	-0.9495964335838999	-0.8921474595879112
ZNF726 (ENSG00000213967)	-0.7333696278885987	-0.6834277876290527	-1.2634208974333854	0.8873971320778042	0.9427005494010643	0.8501206314721671
RHOBTB1 (ENSG00000072422)	-1.3846130029184662	-0.46677311991458875	-0.7616614930438714	0.9470383858639503	0.8421253371402044	0.8238838928727696
AL390719.1 (ENSG00000217801)	0.5011407244164509	0.7285895875082778	1.215614091526678	-0.6137558673970087	-0.33002852119641873	-1.5015600148579789
RHBDL1 (ENSG00000103269)	0.9118527956420042	0.9656675961825268	0.8397520841926454	-1.030009364167743	-0.6911859668119428	-0.9960771450374875
