gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_coculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000087077	TRIP6	164.67067970750227	171.9635388682008	124.85436869484131	0.4602791127592065	0.049972743869863036	1.6386516519601968	0.10128582853924659	0.33194626350618806	0.020281658901188347	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000198792	TMEM184B	3905.6663112748047	3931.297348331876	3018.433680583957	0.3811499002621272	0.03873578317749574	1.63785543235927	0.10145185486854215	0.3324283881418779	0.0016369611423441668	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000057468	MSH4	24.900790683102976	19.42336979685922	28.04628462245114	-0.518841304625398	0.029737275836981596	-1.637532123739747	0.10151933245867971	0.33252750790398766	0.2153762273799629	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000205534	SMG1P2	275.250685469631	336.0095980274707	261.8933363899674	0.35891657194320653	0.03123302565535352	1.6374703734965002	0.10153222438685575	0.33252750790398766	0.005480725818292485	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000259118	AL139022.1	22.879551400375178	23.647585041912347	13.098362417470724	0.8284459894333692	0.12700115786924104	1.6374385322892218	0.10153887255521526	0.33252750790398766	0.15017615450440078	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000133835	HSD17B4	2968.3220244967224	2815.52559941597	3762.9424462017173	-0.41839245967787314	0.046758873504734004	-1.6371411897236254	0.10160097184192457	0.3326168622537763	0.001821624906994148	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000157796	WDR19	792.9641407981433	814.7115552086565	743.0197220742602	0.1328034904304655	0.0034566693253403552	1.6371091480517046	0.10160766547335284	0.3326168622537763	0.24241957340345402	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000119927	GPAM	605.1936878543144	578.8676537522309	721.2464136546924	-0.31701289293773827	0.025470087956130323	-1.6370360344760406	0.10162294050193621	0.3326168622537763	0.014372301775299167	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000133606	MKRN1	2599.0494217964715	2998.1540700880373	2531.749268187445	0.24389567302180912	0.01563529721261906	1.6368997964712406	0.10165140848521342	0.3326480821807552	0.0028177485535832015	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000071127	WDR1	12664.700064588966	9401.17805921909	12699.646311928902	-0.43385493323029156	0.0505496538497034	-1.6366632287260097	0.1017008562278379	0.33274793269257036	1.025198859525028e-06	HUVEC_MM1S_vs_MM1S_coculture	not_significant
