gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_monoculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000065883	CDK13	2162.6315499723482	2033.4297358386684	2216.8064522774016	-0.1245383370993807	0.0017760806448211736	-2.230144968068267	0.02573782031560102	0.08532177257235553	0.021552470301751947	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000002549	LAP3	4171.247463619667	5973.046202308452	3303.967316304042	0.8541699168366501	0.10550322046759392	2.229971629381334	0.025749326400913878	0.08533611815900195	2.7547578275699592e-05	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000198837	DENND4B	3796.996901023313	3151.8792107053864	5129.544394559035	-0.7025302186728674	0.07127395146207721	-2.229933470832054	0.025751859932691478	0.08533611815900195	0.0012714599776024436	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000109265	KIAA1211	292.6033880817814	317.4645163873054	263.5894070640547	0.26783934081970195	0.006932276699026288	2.2298155248155944	0.025759692305805597	0.08534597905164437	0.11517729872988516	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000262503	AC027763.1	76.0033132726262	54.97113292364866	84.2574537801424	-0.6116030571191832	0.0393089397408057	-2.2297372018658206	0.02576489459102189	0.08534712396758298	0.02745188570362477	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000005007	UPF1	3546.336963808815	3061.777588776602	4570.0903901507845	-0.577775466524541	0.04812159794173292	-2.229632135330052	0.025771874637754356	0.08535415623996558	0.0002171854526307359	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000235499	AC073046.1	41.20771935127205	28.181092080361452	51.58850535380054	-0.8608650823723484	0.08042159804361998	-2.2294381574588567	0.025784765764888237	0.08538075914572847	0.038267858109117855	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000116127	ALMS1	1828.2430219104358	1580.4050268196859	1914.2174765005227	-0.2763808328633472	0.01050021972444692	-2.229233681022845	0.025798360628902145	0.08539293414961686	0.0005671929176268496	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000172081	MOB3A	10016.28684057571	9436.98558056886	11208.290054697536	-0.24815611306680346	0.008833659888886692	-2.2291536040938036	0.02580368632958217	0.08539293414961686	0.00257380895270881	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000104611	SH2D4A	749.0372747261276	794.8249694064394	631.8742008496426	0.3307659545164543	0.014448327684405304	2.2291293827618124	0.02580529741235184	0.08539293414961686	0.021640412944397322	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000138738	PRDM5	760.8283022886279	812.7469783116297	609.1206139961736	0.41578186920014215	0.023638665193998935	2.2290905600509694	0.0258078798878174	0.08539293414961686	0.015088976420735313	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000250740	AC109361.2	21.42121709551155	15.650094215927027	31.340064608503752	-0.9793006820458228	0.09245726253682356	-2.2289065662178342	0.02582012214410359	0.08541735813974631	0.014068125979745508	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000088826	SMOX	267.03461254668974	396.0506936965371	203.60750980232964	0.9581760420085673	0.12948978003118347	2.228762171238498	0.025829733158616808	0.08543306997861343	0.004445166248849591	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000112343	TRIM38	1359.2686571445017	1461.361946789395	960.3842301693718	0.6053725476371368	0.052310749918873065	2.2286798479689947	0.025835214028284703	0.08543511782443491	0.0022203059497177867	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000121101	TEX14	81.48296157955296	132.19189367306436	54.80429053818467	1.262616922199429	0.21857040159041133	2.228334236856988	0.025858234894634954	0.08548127552592939	0.007683109833245891	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000250541	AC092436.4	8.687085210068547	13.810638461755266	4.087760423299331	1.6412260789084372	0.24705056897586772	2.2282548830095625	0.025863523091116922	0.08548127552592939	0.013243364529183232	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000141551	CSNK1D	3155.915054049779	2962.466177846333	3558.2963872774635	-0.2643472348772326	0.009833682723792099	-2.228251253617402	0.02586376497873821	0.08548127552592939	0.0017655693892943483	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000224032	EPB41L4A-AS1	496.7321319129972	427.58369257126924	629.8793087331284	-0.5583273027162415	0.04329091342305345	-2.2281307428190713	0.025871797756965485	0.08549174538983724	0.014856778285301006	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000120942	UBIAD1	1602.1833385756463	1444.72037448796	1944.9515535630524	-0.42881555525860343	0.02609393667010949	-2.2279789688983307	0.02588191748187745	0.08550910620587186	0.007230009639673263	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000157557	ETS2	100.89136512508094	78.0957459506336	146.6661166686313	-0.9049224125981813	0.10918021887995706	-2.2275094227216825	0.025913246765194443	0.08558701666177138	0.0013493098056060453	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000145388	METTL14	1116.9302108645456	1203.5669311706774	827.8829845400481	0.5395457650625035	0.041267184748929486	2.22741389162784	0.025919624849050717	0.08558701666177138	0.011791596889455145	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000040633	PHF23	1029.899935751854	1116.4521776906574	949.2580723399814	0.23393544410697298	0.006975319421003528	2.2274066176382563	0.025920110548793448	0.08558701666177138	0.08767433780826936	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000158552	ZFAND2B	635.8614842690474	532.0560491964048	847.6376593299636	-0.6713650737284924	0.06395392296972359	-2.2272440727934826	0.025930966066406953	0.08558856206076543	0.0005971650863088747	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000177106	EPS8L2	206.37444664568608	153.71798666912073	302.0503726037461	-0.9722043227171385	0.13243252389975374	-2.2271536988730594	0.02593700336672645	0.08558856206076543	0.015318122971252306	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000205436	EXOC3L4	7.810556724315175	17.926746022530974	1.9380863949808684	2.9179801733718156	1.0049142362781078	2.227133156348863	0.025938375850144184	0.08558856206076543	0.021449233323470762	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000100092	SH3BP1	269.45133356926846	183.7346384518244	439.1546549889308	-1.2548264119186856	0.22493910289821137	-2.227080666640524	0.02594188306827858	0.08558856206076543	2.365601433770765e-05	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000104047	DTWD1	951.0527024774872	1041.897969665255	868.3262109575826	0.26276664652491416	0.008979638017168723	2.226830583488931	0.02595859856854478	0.08558856206076543	0.05208742955489747	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000235748	SEPT14P12	13.183245200072147	19.41877919363571	9.19107087170599	1.0394012298569124	0.08031809028676681	2.2268206743708188	0.025959261083472674	0.08558856206076543	0.014230236062498503	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000136527	TRA2B	12998.06752509828	15475.89215727266	11753.746154514292	0.39688717457896844	0.022818465310061792	2.2268135592762297	0.025959736801460548	0.08558856206076543	0.033110936393058885	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000235990	RPL23AP20	11.084703763997352	14.907603876968814	5.961113384998441	1.2537878196964822	0.11863475328281445	2.226785345906766	0.025961623232502843	0.08558856206076543	0.002073890101475407	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000271580	AL583832.1	28.453408619356537	39.97834618053819	19.499958605280955	1.017153333200182	0.11303642547496177	2.2266390801991984	0.025971404899249508	0.08558856206076543	0.0677433917522961	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000100038	TOP3B	32.591752621498664	43.08300436894809	24.91824255335024	0.7779013670321251	0.05681894337271098	2.2266273657375386	0.025972188453491207	0.08558856206076543	0.011012736193703713	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000276832	AL354718.3	9.960912744218119	3.161557824739692	20.428989420187104	-2.514973166389639	0.7589997611441522	-2.226597987105484	0.02597415361463962	0.08558856206076543	0.02278399469736105	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000131778	CHD1L	3060.342472205268	3185.2708856737904	2985.383873551758	0.09348445729438512	0.0009462563209356805	2.2263632572347283	0.025989859508433966	0.08562425968161044	0.10992081941680255	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000142731	PLK4	2442.5789149204566	2627.531603698566	1750.2933663694064	0.5859738022291089	0.049456028307325074	2.226180512836866	0.02600209271181236	0.08564850519675325	0.0011800882536649672	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000157985	AGAP1	1504.863076838647	1329.0240013049713	1873.1512461470477	-0.4949426188135198	0.03498497125009292	-2.2260289278201184	0.026012243833113593	0.08566588472250847	0.006696914488221553	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
