gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3	HUVEC-MM1S-1	HUVEC-MM1S-2	HUVEC-MM1S-3
ENSG00000196236	XPNPEP3	786.0087299030628	918.5203462176698	870.7903146344066	1168.8220026411861	1221.600484110769	1303.2352557921245	1033.3285641423363	1119.3681430870868	1015.1287319300665
ENSG00000196247	ZNF107	676.9516810840253	752.6440980399641	698.2976976644763	1135.162621715594	1185.9622203927886	1061.252356506826	1216.9514100352255	1130.8948173294023	1148.9800942626175
ENSG00000196262	PPIA	36159.061503560864	33845.730732147305	35845.15541060648	35928.023199977026	36250.71387965225	36459.11853402131	34770.42604900202	35082.073427278585	35129.02234145333
ENSG00000196267	ZNF836	30.58917222973002	44.95711399208848	41.636148923776275	57.2209475735066	60.057074043263086	39.064503920496655	26.10324770045972	28.176314814549094	21.416217973208152
ENSG00000196268	ZNF493	132.99640099882618	161.22551224748972	202.23272334405618	334.06935568650175	345.1631837871054	380.8789132248424	276.3343808290046	204.9186531967207	231.29515411064807
ENSG00000196275	GTF2IRD2	113.04694084900225	119.36888887554528	66.61783827804204	42.91571068012995	45.53778141741926	42.31987924720471	19.802463772762543	15.368898989754053	13.9205416825853
ENSG00000196284	SUPT3H	27.9292442097535	55.03370850755659	71.37625529790219	58.0624320966464	46.197749264048525	48.83062990062082	44.10548749388021	53.79114646413918	42.832435946416304
ENSG00000196290	NIF3L1	1347.2535421181092	1051.0663202288272	1156.2953358260154	1645.1022427383145	1588.54260683664	1685.1992941258698	1772.3205076622478	1752.0544848319619	1736.8552776271813
ENSG00000196295	GARS-DT	1142.4390845799169	1196.7893793755968	1176.518608160421	1225.201465691553	1222.9204198040275	1155.6582409813593	1153.0434587685827	1071.9807045353452	1087.9438730389743
ENSG00000196296	ATP2A1	66.49820049941309	69.76103895324074	83.27229784755255	31.134927356172707	46.85771711067779	33.63887837598323	57.60716733894558	62.75633754149571	63.177843020964055
ENSG00000196305	IARS	9603.670116125239	9458.046636749374	9877.284128974698	10536.227714233471	10414.952587656426	11061.76536015397	9841.824495062985	10659.612190976915	10260.510030964026
