gene_id	gene_name	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000185453	ZSWIM9	246.10750816743413	247.11181619232272	249.6278040343574	-0.014585272905673363	0.00029329296479110216	-0.18856817290819122	0.8504312795873563	0.891312034125879	0.800432197285356	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000134508	CABLES1	4007.599780884275	3325.8040052828674	3448.0953205462324	-0.05208881521419707	0.054766221647134655	-0.1884479647004052	0.8505255027750311	0.8913576252543907	0.2198564509100481	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000270049	AC009061.2	53.061819858441794	64.71508090786541	61.32893894488152	0.07692337698625822	0.10460117075174415	0.18823374257363434	0.8506934224868281	0.8914804408945692	0.8193501240281807	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000110756	HPS5	1317.184854364085	1428.3252709848869	1402.94789367049	0.025854000718769785	0.013078868597199632	0.18693659581932454	0.8517103456175243	0.8924436341923272	0.7595645907155455	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000008083	JARID2	1086.3351466433478	1151.136009605333	1170.1983761656732	-0.02368461625164572	0.010708079437311963	-0.18693178498210392	0.851714117625876	0.8924436341923272	0.46045858284677177	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000164976	MYORG	321.283344168812	330.8231561976577	336.96958335082303	-0.026518438718766205	0.011529438514977163	-0.18682432746406405	0.8517983721723097	0.8924787022528021	0.7906699306143717	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000270720	AC104785.1	8.26234425361556	11.37681613235754	10.055368253330384	0.17017122670514118	0.5120825210658382	0.1862606590613515	0.8522403570746189	0.8928885586879078	0.8534815707701384	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000100307	CBX7	983.5454282756117	977.5522411410175	970.2502482841295	0.010811355424926006	0.0014068178403135526	0.18606767995370863	0.8523916869454806	0.8929938663820753	0.9665972970750597	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000279058	AGAP14P	21.92525827384239	21.82353382810182	21.11109841998932	0.046793023257012796	0.0001	0.1859547272395439	0.8524802644419643	0.893033423966536	0.8550665144816444	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000272906	AL353708.3	16.353239199758004	16.854221867435133	16.1546421716385	0.059362320976935334	0.014779517707093176	0.18574017659873912	0.852648520135213	0.8931564404110692	0.81674080697593	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000242294	STAG3L5P	437.25003157862295	429.3276420667012	436.56120332927594	-0.02407705493487355	0.009894805208337253	-0.18503664978805215	0.8532002895222216	0.8936811520399356	0.7827953289043552	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000166025	AMOTL1	1718.6670972985848	1879.2680178202938	1927.5292061932548	-0.036572276095774015	0.02770378950629942	-0.18478830094569387	0.8533950843254364	0.8938319118399627	0.42960725625723784	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000196150	ZNF250	255.1457346892732	255.79443541395972	253.35803521361063	0.013780230081275067	0.0001	0.18449656399087594	0.8536239224300082	0.8939853442634639	0.9414977179367945	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000225975	LINC01534	46.79679365407845	49.949706995753736	48.88290977837968	0.030834043812759785	0.0001	0.18446624569122783	0.8536477047734211	0.8939853442634639	0.7321005755043921	MM1S_coculture_vs_MM1S_monoculture	not_significant
